date_dim_id;date;monthday;weekday;week;month;quarter;year
127;2015-05-07;7;Thursday;19;May;2;2015
128;2015-05-08;8;Friday;19;May;2;2015
129;2015-05-09;9;Saturday;19;May;2;2015
130;2015-05-10;10;Sunday;20;May;2;2015
131;2015-05-11;11;Monday;20;May;2;2015
132;2015-05-12;12;Tuesday;20;May;2;2015
133;2015-05-13;13;Wednesday;20;May;2;2015
134;2015-05-14;14;Thursday;20;May;2;2015
135;2015-05-15;15;Friday;20;May;2;2015
136;2015-05-16;16;Saturday;20;May;2;2015
137;2015-05-17;17;Sunday;21;May;2;2015
138;2015-05-18;18;Monday;21;May;2;2015
139;2015-05-19;19;Tuesday;21;May;2;2015
140;2015-05-20;20;Wednesday;21;May;2;2015
141;2015-05-21;21;Thursday;21;May;2;2015
142;2015-05-22;22;Friday;21;May;2;2015
143;2015-05-23;23;Saturday;21;May;2;2015
144;2015-05-24;24;Sunday;22;May;2;2015
145;2015-05-25;25;Monday;22;May;2;2015
146;2015-05-26;26;Tuesday;22;May;2;2015
147;2015-05-27;27;Wednesday;22;May;2;2015
148;2015-05-28;28;Thursday;22;May;2;2015
149;2015-05-29;29;Friday;22;May;2;2015
150;2015-05-30;30;Saturday;22;May;2;2015
151;2015-05-31;31;Sunday;23;May;2;2015
152;2015-06-01;1;Monday;23;June;2;2015
153;2015-06-02;2;Tuesday;23;June;2;2015
154;2015-06-03;3;Wednesday;23;June;2;2015
155;2015-06-04;4;Thursday;23;June;2;2015
156;2015-06-05;5;Friday;23;June;2;2015
157;2015-06-06;6;Saturday;23;June;2;2015
158;2015-06-07;7;Sunday;24;June;2;2015
159;2015-06-08;8;Monday;24;June;2;2015
160;2015-06-09;9;Tuesday;24;June;2;2015
161;2015-06-10;10;Wednesday;24;June;2;2015
162;2015-06-11;11;Thursday;24;June;2;2015
163;2015-06-12;12;Friday;24;June;2;2015
164;2015-06-13;13;Saturday;24;June;2;2015
165;2015-06-14;14;Sunday;25;June;2;2015
166;2015-06-15;15;Monday;25;June;2;2015
167;2015-06-16;16;Tuesday;25;June;2;2015
168;2015-06-17;17;Wednesday;25;June;2;2015
169;2015-06-18;18;Thursday;25;June;2;2015
170;2015-06-19;19;Friday;25;June;2;2015
171;2015-06-20;20;Saturday;25;June;2;2015
172;2015-06-21;21;Sunday;26;June;2;2015
173;2015-06-22;22;Monday;26;June;2;2015
174;2015-06-23;23;Tuesday;26;June;2;2015
175;2015-06-24;24;Wednesday;26;June;2;2015
176;2015-06-25;25;Thursday;26;June;2;2015
177;2015-06-26;26;Friday;26;June;2;2015
178;2015-06-27;27;Saturday;26;June;2;2015
179;2015-06-28;28;Sunday;27;June;2;2015
180;2015-06-29;29;Monday;27;June;2;2015
181;2015-06-30;30;Tuesday;27;June;2;2015
182;2015-07-01;1;Wednesday;27;July;3;2015
183;2015-07-02;2;Thursday;27;July;3;2015
184;2015-07-03;3;Friday;27;July;3;2015
185;2015-07-04;4;Saturday;27;July;3;2015
186;2015-07-05;5;Sunday;28;July;3;2015
187;2015-07-06;6;Monday;28;July;3;2015
188;2015-07-07;7;Tuesday;28;July;3;2015
189;2015-07-08;8;Wednesday;28;July;3;2015
190;2015-07-09;9;Thursday;28;July;3;2015
191;2015-07-10;10;Friday;28;July;3;2015
192;2015-07-11;11;Saturday;28;July;3;2015
193;2015-07-12;12;Sunday;29;July;3;2015
194;2015-07-13;13;Monday;29;July;3;2015
195;2015-07-14;14;Tuesday;29;July;3;2015
196;2015-07-15;15;Wednesday;29;July;3;2015
197;2015-07-16;16;Thursday;29;July;3;2015
198;2015-07-17;17;Friday;29;July;3;2015
199;2015-07-18;18;Saturday;29;July;3;2015
200;2015-07-19;19;Sunday;30;July;3;2015
201;2015-07-20;20;Monday;30;July;3;2015
202;2015-07-21;21;Tuesday;30;July;3;2015
203;2015-07-22;22;Wednesday;30;July;3;2015
204;2015-07-23;23;Thursday;30;July;3;2015
205;2015-07-24;24;Friday;30;July;3;2015
206;2015-07-25;25;Saturday;30;July;3;2015
207;2015-07-26;26;Sunday;31;July;3;2015
208;2015-07-27;27;Monday;31;July;3;2015
209;2015-07-28;28;Tuesday;31;July;3;2015
210;2015-07-29;29;Wednesday;31;July;3;2015
211;2015-07-30;30;Thursday;31;July;3;2015
212;2015-07-31;31;Friday;31;July;3;2015
213;2015-08-01;1;Saturday;31;August;3;2015
214;2015-08-02;2;Sunday;32;August;3;2015
215;2015-08-03;3;Monday;32;August;3;2015
216;2015-08-04;4;Tuesday;32;August;3;2015
217;2015-08-05;5;Wednesday;32;August;3;2015
218;2015-08-06;6;Thursday;32;August;3;2015
219;2015-08-07;7;Friday;32;August;3;2015
220;2015-08-08;8;Saturday;32;August;3;2015
221;2015-08-09;9;Sunday;33;August;3;2015
222;2015-08-10;10;Monday;33;August;3;2015
223;2015-08-11;11;Tuesday;33;August;3;2015
224;2015-08-12;12;Wednesday;33;August;3;2015
225;2015-08-13;13;Thursday;33;August;3;2015
226;2015-08-14;14;Friday;33;August;3;2015
227;2015-08-15;15;Saturday;33;August;3;2015
228;2015-08-16;16;Sunday;34;August;3;2015
229;2015-08-17;17;Monday;34;August;3;2015
230;2015-08-18;18;Tuesday;34;August;3;2015
231;2015-08-19;19;Wednesday;34;August;3;2015
232;2015-08-20;20;Thursday;34;August;3;2015
233;2015-08-21;21;Friday;34;August;3;2015
234;2015-08-22;22;Saturday;34;August;3;2015
235;2015-08-23;23;Sunday;35;August;3;2015
236;2015-08-24;24;Monday;35;August;3;2015
237;2015-08-25;25;Tuesday;35;August;3;2015
238;2015-08-26;26;Wednesday;35;August;3;2015
239;2015-08-27;27;Thursday;35;August;3;2015
240;2015-08-28;28;Friday;35;August;3;2015
241;2015-08-29;29;Saturday;35;August;3;2015
242;2015-08-30;30;Sunday;36;August;3;2015
243;2015-08-31;31;Monday;36;August;3;2015
244;2015-09-01;1;Tuesday;36;September;3;2015
245;2015-09-02;2;Wednesday;36;September;3;2015
246;2015-09-03;3;Thursday;36;September;3;2015
247;2015-09-04;4;Friday;36;September;3;2015
248;2015-09-05;5;Saturday;36;September;3;2015
249;2015-09-06;6;Sunday;37;September;3;2015
250;2015-09-07;7;Monday;37;September;3;2015
251;2015-09-08;8;Tuesday;37;September;3;2015
252;2015-09-09;9;Wednesday;37;September;3;2015
253;2015-09-10;10;Thursday;37;September;3;2015
254;2015-09-11;11;Friday;37;September;3;2015
255;2015-09-12;12;Saturday;37;September;3;2015
256;2015-09-13;13;Sunday;38;September;3;2015
257;2015-09-14;14;Monday;38;September;3;2015
258;2015-09-15;15;Tuesday;38;September;3;2015
259;2015-09-16;16;Wednesday;38;September;3;2015
260;2015-09-17;17;Thursday;38;September;3;2015
261;2015-09-18;18;Friday;38;September;3;2015
262;2015-09-19;19;Saturday;38;September;3;2015
263;2015-09-20;20;Sunday;39;September;3;2015
264;2015-09-21;21;Monday;39;September;3;2015
265;2015-09-22;22;Tuesday;39;September;3;2015
266;2015-09-23;23;Wednesday;39;September;3;2015
267;2015-09-24;24;Thursday;39;September;3;2015
268;2015-09-25;25;Friday;39;September;3;2015
269;2015-09-26;26;Saturday;39;September;3;2015
270;2015-09-27;27;Sunday;40;September;3;2015
271;2015-09-28;28;Monday;40;September;3;2015
